corpus,language,collection,LOC,ORG,MISC,PER
biomedical,German,,0.0164,0.0074,0.0186,0.0111
cq,German,,0.0108,0.0056,0.0138,0.0088
general,German,,0.0083,0.0044,0.0139,0.007
human,German,,0.0126,0.0041,0.0086,0.011
human_cq,German,,0.0117,0.0051,0.006,0.0119
human_pq,German,,0.0125,0.0027,0.0074,0.008
human_whq,German,,0.0157,0.007,0.0199,0.0204
large,German,,0.0072,0.0021,0.0077,0.0054
large_cq,German,,0.0095,0.002,0.0063,0.0068
large_general,German,,0.0072,0.0021,0.0077,0.0054
large_general_cq,German,,0.0095,0.002,0.0063,0.0068
large_general_pq,German,,0.0057,0.0011,0.0069,0.0048
large_general_whq,German,,0.008,0.0054,0.013,0.0048
large_pq,German,,0.0057,0.0011,0.0069,0.0048
large_whq,German,,0.008,0.0054,0.013,0.0048
medium,German,,0.0084,0.0044,0.0133,0.007
medium_biomedical,German,,0.009,0.006,0.0171,0.0072
medium_biomedical_cq,German,,0.01,0.0073,0.019,0.0072
medium_biomedical_pq,German,,0.0073,0.005,0.0134,0.0059
medium_biomedical_whq,German,,0.0122,0.0066,0.0246,0.0108
medium_cq,German,,0.0086,0.0049,0.0139,0.0069
medium_general,German,,0.0083,0.0041,0.0124,0.0069
medium_general_cq,German,,0.0082,0.0044,0.0127,0.0068
medium_general_pq,German,,0.0079,0.0035,0.0113,0.0067
medium_general_whq,German,,0.0093,0.0051,0.0154,0.0078
medium_pq,German,,0.0078,0.0038,0.0117,0.0066
medium_whq,German,,0.0099,0.0054,0.0173,0.0084
not-human,German,,0.0107,0.0053,0.0153,0.0082
not-human_cq,German,,0.0107,0.0057,0.0147,0.0084
not-human_pq,German,,0.0101,0.0046,0.0147,0.0081
not-human_whq,German,,0.0123,0.0064,0.0182,0.0083
pq,German,,0.0104,0.0045,0.014,0.0081
small,German,,0.0168,0.0079,0.0216,0.0115
small_biomedical,German,,0.0219,0.0085,0.0197,0.0139
small_biomedical_cq,German,,0.021,0.009,0.0171,0.0158
small_biomedical_pq,German,,0.0224,0.0079,0.0205,0.0141
small_biomedical_whq,German,,0.0222,0.0094,0.0221,0.0104
small_cq,German,,0.016,0.0081,0.0185,0.0118
small_general,German,,0.0092,0.0071,0.0244,0.008
small_general_cq,German,,0.0088,0.0069,0.0206,0.006
small_general_pq,German,,0.0083,0.0067,0.0277,0.01
small_general_whq,German,,0.0125,0.0087,0.0217,0.0059
small_pq,German,,0.0166,0.0074,0.0234,0.0124
small_whq,German,,0.0184,0.0091,0.0219,0.0086
whq,German,,0.0125,0.0065,0.0183,0.0092
