corpus,language,collection,NUM,NOUN,AUX,ADP,PROPN,PUNCT,DET,ADJ,VERB,PRON,PART,CCONJ,ADV,SPACE,X,SCONJ,INTJ
biomedical,German,,0.0212,0.1659,0.0373,0.0825,0.0752,0.1726,0.0893,0.0328,0.0675,0.0792,0.0244,0.02,0.0715,0.0112,0.0443,0.0159,0.0003
cq,German,,0.0143,0.1678,0.049,0.0791,0.0494,0.1493,0.0958,0.0338,0.0759,0.0971,0.0322,0.0259,0.0821,0.0181,0.0334,0.0147,0.0001
general,German,,0.0118,0.1617,0.0545,0.0743,0.0425,0.1469,0.0939,0.036,0.0758,0.0993,0.0275,0.029,0.092,0.0267,0.0387,0.0159,0.0001
human,German,,0.013,0.137,0.059,0.065,0.0153,0.1264,0.0799,0.0208,0.087,0.1221,0.0901,0.0221,0.1483,0.0004,0.003,0.0107,0.0003
human_cq,German,,0.0121,0.1515,0.0605,0.0619,0.0154,0.1293,0.0857,0.02,0.0961,0.1246,0.0841,0.0264,0.1213,0.0003,0.0032,0.0077,0.0002
human_pq,German,,0.0038,0.1131,0.0625,0.0588,0.009,0.1325,0.0726,0.0202,0.0872,0.1317,0.1144,0.0177,0.1609,0.0005,0.0022,0.0131,0.0004
human_whq,German,,0.0511,0.1935,0.0411,0.0971,0.0401,0.0951,0.0934,0.0254,0.0633,0.0785,0.0102,0.0286,0.1681,0.0005,0.0055,0.009,
large,German,,0.0107,0.1526,0.067,0.0792,0.0081,0.133,0.0979,0.0343,0.0853,0.1255,0.04,0.037,0.109,0.0223,0.0032,0.0172,
large_cq,German,,0.016,0.1667,0.0607,0.0862,0.009,0.1353,0.106,0.0296,0.0816,0.1214,0.043,0.0351,0.0921,0.0226,0.0041,0.0131,
large_general,German,,0.0107,0.1526,0.067,0.0792,0.0081,0.133,0.0979,0.0343,0.0853,0.1255,0.04,0.037,0.109,0.0223,0.0032,0.0172,
large_general_cq,German,,0.016,0.1667,0.0607,0.0862,0.009,0.1353,0.106,0.0296,0.0816,0.1214,0.043,0.0351,0.0921,0.0226,0.0041,0.0131,
large_general_pq,German,,0.0048,0.144,0.0694,0.0749,0.0054,0.1345,0.0939,0.0368,0.0882,0.1301,0.0481,0.0368,0.1116,0.0197,0.0027,0.0188,
large_general_whq,German,,0.0198,0.1531,0.0712,0.0799,0.0154,0.124,0.0956,0.035,0.0829,0.1186,0.0083,0.0411,0.1325,0.0297,0.0028,0.0196,
large_pq,German,,0.0048,0.144,0.0694,0.0749,0.0054,0.1345,0.0939,0.0368,0.0882,0.1301,0.0481,0.0368,0.1116,0.0197,0.0027,0.0188,
large_whq,German,,0.0198,0.1531,0.0712,0.0799,0.0154,0.124,0.0956,0.035,0.0829,0.1186,0.0083,0.0411,0.1325,0.0297,0.0028,0.0196,
medium,German,,0.0137,0.1602,0.0557,0.0754,0.0419,0.1446,0.0922,0.0348,0.0762,0.1012,0.0296,0.0299,0.0965,0.0218,0.0329,0.0151,0.0
medium_biomedical,German,,0.0193,0.1417,0.0512,0.0768,0.0752,0.1393,0.0813,0.0287,0.074,0.0942,0.0324,0.0281,0.0923,0.0008,0.0515,0.0141,0.0001
medium_biomedical_cq,German,,0.024,0.1508,0.0493,0.0792,0.0835,0.1421,0.0824,0.0301,0.0691,0.0864,0.03,0.025,0.0764,0.0008,0.0609,0.0108,
medium_biomedical_pq,German,,0.0109,0.134,0.0541,0.073,0.061,0.1362,0.0826,0.0287,0.0797,0.1047,0.0415,0.0305,0.1007,0.0004,0.0447,0.0175,0.0002
medium_biomedical_whq,German,,0.0354,0.1482,0.0457,0.0836,0.1018,0.1433,0.0753,0.026,0.0658,0.0775,0.0101,0.0268,0.0958,0.0019,0.0543,0.0103,
medium_cq,German,,0.0154,0.1675,0.053,0.0796,0.048,0.1434,0.0967,0.0357,0.0746,0.0987,0.0287,0.0287,0.0831,0.0184,0.0334,0.0135,0.0
medium_general,German,,0.0124,0.1645,0.0568,0.075,0.0341,0.1458,0.0948,0.0363,0.0767,0.1029,0.0289,0.0304,0.0975,0.0268,0.0285,0.0154,0.0
medium_general_cq,German,,0.0133,0.1715,0.0539,0.0798,0.0394,0.1437,0.1002,0.037,0.076,0.1017,0.0284,0.0296,0.0848,0.0227,0.0268,0.0141,0.0
medium_general_pq,German,,0.0088,0.1571,0.0584,0.0718,0.0296,0.1469,0.0909,0.0353,0.0788,0.1081,0.0353,0.0312,0.1028,0.0267,0.0284,0.0165,0.0
medium_general_whq,German,,0.0222,0.1752,0.0569,0.0767,0.0384,0.1464,0.0969,0.0381,0.0717,0.0887,0.0098,0.0291,0.1038,0.0344,0.032,0.0142,0.0
medium_pq,German,,0.0092,0.1527,0.0576,0.072,0.0354,0.1449,0.0894,0.0341,0.079,0.1075,0.0365,0.0311,0.1024,0.0217,0.0315,0.0167,0.0001
medium_whq,German,,0.0248,0.1698,0.0546,0.0781,0.051,0.1458,0.0926,0.0357,0.0705,0.0865,0.0099,0.0287,0.1022,0.0279,0.0364,0.0134,0.0
not-human,German,,0.0146,0.163,0.0494,0.0767,0.0521,0.1545,0.0925,0.0351,0.0733,0.0934,0.0266,0.0264,0.086,0.0221,0.0404,0.0159,0.0001
not-human_cq,German,,0.0146,0.1697,0.0476,0.0811,0.0534,0.1516,0.097,0.0354,0.0736,0.0939,0.0262,0.0258,0.0776,0.0201,0.0369,0.0155,0.0001
not-human_pq,German,,0.0117,0.1565,0.0512,0.0733,0.0486,0.1555,0.0895,0.0344,0.0747,0.0971,0.0326,0.0271,0.0893,0.0218,0.042,0.0165,0.0001
not-human_whq,German,,0.0231,0.1704,0.0472,0.0795,0.0608,0.1566,0.0935,0.0366,0.0689,0.0812,0.0093,0.0252,0.0909,0.0266,0.0418,0.0149,0.0001
pq,German,,0.011,0.1524,0.0523,0.0719,0.0448,0.1533,0.0879,0.033,0.0759,0.1004,0.0403,0.0262,0.096,0.0198,0.0382,0.0162,0.0002
small,German,,0.0174,0.1729,0.0313,0.0795,0.0848,0.1818,0.0926,0.0356,0.0641,0.0679,0.0168,0.0162,0.0573,0.0201,0.0654,0.0163,0.0003
small_biomedical,German,,0.0227,0.1837,0.0271,0.0868,0.0752,0.1973,0.0953,0.0358,0.0627,0.0681,0.0186,0.014,0.0561,0.0189,0.039,0.0172,0.0004
small_biomedical_cq,German,,0.0172,0.1856,0.0264,0.0872,0.0743,0.1897,0.0931,0.0347,0.0672,0.0749,0.0177,0.0148,0.0595,0.0199,0.0367,0.0204,0.0005
small_biomedical_pq,German,,0.025,0.1814,0.0289,0.0858,0.0744,0.2013,0.0948,0.0348,0.0593,0.067,0.0234,0.0142,0.0543,0.0182,0.0398,0.0152,0.0003
small_biomedical_whq,German,,0.0255,0.1872,0.0231,0.0889,0.079,0.1991,0.1001,0.0402,0.0647,0.0594,0.0065,0.0122,0.0552,0.0191,0.0408,0.0177,0.0004
small_cq,German,,0.013,0.1768,0.0329,0.083,0.0743,0.1737,0.0969,0.0358,0.0687,0.0766,0.0171,0.0178,0.0617,0.0209,0.0515,0.0199,0.0003
small_general,German,,0.0098,0.1571,0.0373,0.0687,0.0988,0.159,0.0887,0.0354,0.066,0.0676,0.0142,0.0194,0.059,0.0219,0.1039,0.0151,0.0002
small_general_cq,German,,0.007,0.1643,0.0421,0.0769,0.0743,0.1509,0.1023,0.0374,0.0707,0.079,0.0163,0.0222,0.0647,0.0222,0.0726,0.0193,0.0001
small_general_pq,German,,0.0104,0.1504,0.0366,0.0615,0.1095,0.1615,0.0803,0.0336,0.0656,0.0631,0.0147,0.0181,0.0547,0.021,0.1267,0.0131,0.0003
small_general_whq,German,,0.0132,0.1637,0.0307,0.0754,0.1117,0.1665,0.0885,0.0369,0.0587,0.0603,0.0088,0.0178,0.0615,0.0239,0.0934,0.013,
small_pq,German,,0.019,0.1688,0.0321,0.0759,0.0887,0.1851,0.0889,0.0343,0.0619,0.0654,0.0198,0.0158,0.0544,0.0194,0.0752,0.0143,0.0003
small_whq,German,,0.0206,0.178,0.0261,0.0836,0.0918,0.1863,0.0956,0.0389,0.0624,0.0598,0.0074,0.0144,0.0577,0.021,0.0614,0.0158,0.0003
whq,German,,0.0252,0.1721,0.0468,0.0808,0.0593,0.1521,0.0935,0.0358,0.0685,0.081,0.0093,0.0255,0.0967,0.0247,0.0391,0.0144,0.0001
